Program name,Download method,Settings
Numi,https://numi.io,Dark theme
Karabiner,https://pqrs.org/osx/karabiner/,Change caps-lock to escape and control under Complex Modifications (and non_us_backslash to backtick)
NordVPN,https://nordvpn.com,
Photoshop,Torrent,
Premiere,Torrent,
Paragon NTFS for Mac,Seagate site,
VLC Remote,https://hobbyistsoftware.com/vlc,
Wunderlist,App Store,
Alfred theme,https://github.com/AlexMartinFR/mojave-alfred-accented-themes,
Bitwarden,https://bitwarden.com/,Lock in 15 minutes and clear clipboard
